id,idx,count,awf,nwf,acl,ncl,p_awf,p_acl,p_nwf,p_ncl,p_awf_nwf,p_awf_ncl,p_acl_nwf,p_acl_ncl,ic_awf_nwf,ic_awf_ncl,ic_acl_nwf,ic_acl_ncl,pmi_awf_nwf,pmi_awf_ncl,pmi_acl_nwf,pmi_acl_ncl,vd_awf_nwf,vd_awf_nct,vd_act_nwf,vd_act_nct,s_awf,s_acl
0,0,1,3d,perspective,None,49.0,None,None,-11.44959303525268,-5.535037799345013,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
0,1,1,orthographic,perspective,118.0,49.0,-18.627550740042295,-10.611306628639507,-11.44959303525268,-5.535037799345013,None,-9.213590302881306,-9.213590302881306,-10.003002353877582,4.9820155714537995,4.551294273661319,9.980740005558769,6.474324589113551,None,9.41396043716099,1.3977163257582017,0.6083042747619256,0.7692536855019849,0.91191153758664,0.6383647495098913,0.6034748664341754,0.228,0.228
1,0,1,above,business,192.0,860.0,-10.255694427676358,-5.543465858839397,-9.718544475042817,-5.817460231470195,-13.681604457257375,-8.94463886309117,-8.94463886309117,-7.230657221445463,9.37364160783515,5.960179796912547,9.692837877537752,6.33685307461549,-3.4259100295810168,1.311055564585189,-3.4011730042517723,-1.6871913626060655,0.5616115363261686,0.4840724797191549,0.4943139385605737,0.3566692711172247,0.19962962962963,0.30349902534113105
1,1,1,parochial,business,50.0,860.0,-16.37039290054517,-11.25539643432291,-9.718544475042817,-5.817460231470195,-15.26656695797853,-11.681604457257373,-11.681604457257373,-10.251783769126279,6.081101437908434,4.82388655248744,9.777121198721517,6.530723657719407,1.1038259425666404,4.688788443287796,-0.426208022934464,1.0036126651966306,0.8922864373890531,0.8602843184529226,0.7608432278089844,0.7201896513068728,0.49285714285714294,0.44758241758241746
2,0,1,absolute,fabrications,11.0,888.0,-10.783361689939081,-5.333220301967762,-18.461549476964336,-12.307183563042107,None,-4.938599455335857,-4.938599455335857,-5.13878100528211,10.088227656405996,6.869067969572307,11.961260669217852,7.592975745859972,None,5.844762234603224,0.3946208466319048,0.19443929668565207,0.8702306721914882,0.8940305795740526,0.8891859951150188,0.9732765426749609,0.24105263157894702,0.4826139901120551
2,1,1,deliberate,fabrications,68.0,888.0,-13.623158970925136,-8.83044369348561,-18.461549476964336,-12.307183563042107,-6.523561956057013,-4.938599455335857,-4.938599455335857,-7.1543778603331285,8.842799666782104,6.408655152607972,10.48484420691001,6.821228257649139,7.099597014868123,8.684559515589278,3.891844238149752,1.6760658331524807,0.7874762006133713,0.687394378593918,0.8859353163265387,0.7532112399269317,0.545238095238095,0.5378950513538747
3,0,1,actual,cost,36.0,561.0,-8.881384651048233,-4.049072114602912,-10.152369729834982,-6.1270968392733005,-6.135774176952078,-3.940198886537813,-3.940198886537813,-3.6807238053953655,11.245938590033662,7.020375795266399,11.204401265124075,6.6940137524784555,2.7456104740961544,4.94118576451042,0.1088732280650988,0.36834830920754635,0.4031317854884784,0.4000756857643759,0.37716165284975167,0.32753478283933146,0.302727272727273,0.5203088092154123
3,1,1,monthly,cost,183.0,561.0,-10.016076042509606,-7.609481479842611,-10.152369729834982,-6.1270968392733005,-5.861198149235593,-5.393949850608104,-5.393949850608104,-4.763289035110854,7.6581779802547025,4.7550983009602605,9.435338726484105,6.2181555989603225,4.154877893274014,4.622126191901502,2.2155316292345066,2.8461924447317566,0.45090946731265613,0.321379457608729,0.5437396390429279,0.44180250049182157,0.10823529411764699,0.144967320261438
4,0,1,additional,cost,62.0,561.0,-8.447869174544728,-2.926321710910842,-10.152369729834982,-6.1270968392733005,-4.292613664604265,-3.6534545985403617,-3.6534545985403617,-3.2055176377507664,9.866077450843356,6.345718892586377,11.553351739579965,7.0088477609901,4.155255509940463,4.794414576004366,-0.7271328876295198,-0.27919592683992445,0.36434526139037426,0.33623945375408915,0.34856833205183924,0.35279351342203225,0.43947368421052596,0.513775111241064
4,1,1,electric,cost,102.0,561.0,-10.090190269713412,-7.467723107068939,-10.152369729834982,-6.1270968392733005,-11.662816701744054,-9.247779202465209,-9.247779202465209,-8.217781603936603,8.774796943772202,6.217086144518889,10.512208139391442,6.8683325494888985,-1.572626432030642,0.8424110672482037,-1.7800560953962696,-0.7500584968676636,0.5618378841795295,0.6770170585043677,0.5228075918205299,0.6266247428907531,0.24222222222222198,0.18568148148148134
5,0,1,additional,lives,62.0,626.0,-8.447869174544728,-2.926321710910842,-11.187551223579083,-6.212850693973215,-10.212597708721109,-2.649083627263988,-2.649083627263988,-3.273828577164896,9.866077450843356,6.345718892586377,11.553351739579965,7.0088477609901,-1.7647285341763812,5.79878554728074,0.277238083646854,-0.3475068662540539,0.6341771064585564,0.5706202849598482,0.4853429715047003,0.31793831916919035,0.43947368421052596,0.513775111241064
5,1,1,innocent,lives,176.0,626.0,-11.692493521896079,-7.87234791826019,-11.187551223579083,-6.212850693973215,-6.190229895692656,-6.0902010773613835,-6.0902010773613835,-7.43409343555892,7.782559188969128,5.334500563051917,10.647141537467308,7.031415122003659,5.5022636262034235,5.6022924445346955,1.7821468408988066,0.43825448270126977,0.5435219774248614,0.5446734480508686,0.46594202790838657,0.4464083891992816,0.6442857142857139,0.39862433862433844
6,0,1,adorable,store,54.0,778.0,-12.382171953745138,-5.355953555027005,-10.980627597053676,-7.5437434558652585,-12.419521335246518,-5.3427057381956855,-5.3427057381956855,-4.301828571168196,9.62409160950381,6.35976434814751,11.45290997791871,7.2034591319764445,-0.03734938150138056,7.039466215549452,0.013247816831319703,1.0541249838588094,0.7175976568881681,0.6822088702530481,0.5376918579562542,0.4645695218185656,0.9052941176470591,0.7609627748929781
6,1,1,little,store,4.0,778.0,-6.627331692722123,-4.025178737373114,-10.980627597053676,-7.5437434558652585,-6.353432144788744,-4.629444404620748,-4.629444404620748,-4.7489823680985035,10.44296273420755,6.714462883382905,10.807144563510532,6.503130785772407,0.2738995479333788,1.9978872881013752,-0.6042656672476339,-0.7238036307253894,0.5470890797222075,0.5368140127380459,0.4047850761907187,0.4195709087689501,0.6117857142857139,0.4268183830226921
7,0,1,affordable,photos,None,186.0,None,None,-10.81769328718961,-6.935593857375657,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,1,1,traditional,photos,62.0,186.0,-8.856967416482114,-2.926321710910842,-10.81769328718961,-6.935593857375657,-9.643856189774725,-2.3094371507041656,-2.3094371507041656,-3.0585392185257687,10.942248655869177,7.246850949838566,11.553351739579965,7.0088477609901,-0.7868887732926115,6.547530265777948,0.6168845602066764,-0.1322175076149268,0.6890931436412819,0.6316077679249819,0.49511451465048384,0.4059025154463377,0.6365217391304351,0.513775111241064
8,0,1,afghan,tribes,139.0,278.0,-21.663174649773016,-13.713660351527873,-14.685903414634069,-7.082289016058776,None,-8.714245517666123,-8.714245517666123,-11.880466550345016,3.121928094887363,2.9219280948873627,9.3732601775843,6.965785249421239,None,12.948929132106892,4.999414833861749,1.8331938011828566,0.6976389580191515,0.6342900916548946,0.6542950292226152,0.613285485827594,0.16166666666666699,0.2066432805622691
8,1,1,pashtun,tribes,None,278.0,None,None,-14.685903414634069,-7.082289016058776,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,0,1,aggressive,annexation,38.0,474.0,-11.726389504501158,-7.046732591529233,-19.43052258134371,-13.121324275703396,-5.554588851677638,-5.554588851677638,-5.554588851677638,-6.776336262478511,9.721581778228352,6.758760448164742,10.936120308613015,6.865073979215101,6.171800652823521,6.171800652823521,1.4921437398515955,0.27039632905072253,0.8629218328752624,0.8863198063792095,0.9096324123070014,0.9262631465862867,0.7183333333333329,0.7072116016659921
9,1,1,near,annexation,53.0,474.0,-11.14530845445782,-3.6108899305483,-19.43052258134371,-13.121324275703396,None,-3.969626350956481,-3.969626350956481,-4.981156054367009,3.9942266252092637,3.0280801797328305,11.365433967853868,6.9750043224043585,None,7.175682103501339,-0.3587364204081811,-1.370266123818709,0.8836310743864122,1.1288668546501377,0.9324807036247801,1.102152889985094,0.591,0.4689695779805115
10,0,1,alternative,power,62.0,610.0,-10.210470091335468,-2.926321710910842,-9.972355968190149,-5.979046633585523,-9.727353245968951,-3.8751238665957706,-3.8751238665957706,-2.4625615296945558,8.68789030583852,5.837632054859468,11.553351739579965,7.0088477609901,0.4831168453665171,6.335346224739697,-0.9488021556849286,0.46376018121628615,0.5971603422835456,0.4205805641535474,0.39498778420815706,0.14197903047002203,0.525,0.513775111241064
10,1,1,foreign,power,127.0,610.0,-9.562446615768106,-4.76527776174866,-9.972355968190149,-5.979046633585523,-8.001528209407946,-3.7881507832926995,-3.7881507832926995,-4.034847558355388,8.240543564133121,5.705997586829324,10.79822748247065,6.594047190362323,1.5609184063601607,5.774295832475406,0.9771269784559604,0.7304302033932721,0.6652472201762836,0.5645545520117154,0.4809663226170996,0.3803053697650912,0.426923076923077,0.3737082119127675
11,0,1,amazing,crepe,131.0,437.0,-8.759462232766117,-3.1870673414481447,-18.477316792822652,-9.853386969902772,None,-3.3378696387563838,-3.3378696387563838,-3.6784657755188523,10.3818102845272,6.741187571050697,10.981056842919148,6.65889117329594,None,5.4215925940097325,-0.15080229730823902,-0.4913984340707076,0.8133250681059336,0.7638358357452222,0.8220937521947239,0.7469590104593937,0.8138888888888891,0.7173174493326742
11,1,1,new,crepe,184.0,437.0,-5.003508985497221,-3.5583523966317334,-18.477316792822652,-9.853386969902772,None,None,None,-5.2009990719665895,11.071361901337536,6.897245080504974,10.697752203659455,6.3563074088285285,None,None,None,-1.642646675334856,0.9003588082131777,0.7874120324275494,0.8872937117333015,0.8152584921529267,0.4516666666666671,0.42557203072616623
12,0,1,amazing,breakthrough,131.0,707.0,-8.759462232766117,-3.1870673414481447,-14.812683924375865,-9.74046223466805,-6.47198779050439,-4.172427508645483,-4.172427508645483,-3.895379915946746,10.3818102845272,6.741187571050697,10.981056842919148,6.65889117329594,2.2874744422617264,4.587034724120634,-0.9853601671973382,-0.7083125744986014,0.547970868157813,0.5084427744127231,0.5725170387298166,0.43585719560884584,0.8138888888888891,0.7173174493326742
12,1,1,scientific,breakthrough,169.0,707.0,-10.238063673564909,-8.20838193603236,-14.812683924375865,-9.74046223466805,-4.47198779050439,-4.195147585145566,-4.195147585145566,-6.374296425180794,8.534363026713494,5.445247430916981,9.923013927912137,6.046929175047367,5.766075883060519,6.042916088419343,4.013234350886794,1.8340855108515663,0.5566992602766094,0.5063450082547111,0.5952327589282786,0.600163096837272,0.293333333333333,0.293333333333333
