"","workerid","class","predicate","slide_number","response","language"
"1",0,"nationality","national",3,0.04,"English"
"2",0,"dimension","large",4,0.99,"English"
"3",0,"age","old",5,0.95,"English"
"4",0,"dimension","open",6,0.02,"English"
"5",0,"physical","sweet",7,0.93,"English"
"6",0,"material","wooden",8,0.02,"English"
"7",0,"shape","square",9,0.06,"English"
"8",0,"age","senior",10,0.99,"English"
"9",0,"speed","fast",11,0.95,"English"
"10",0,"color","yellow",12,0.03,"English"
"11",0,"X","unique",13,0.95,"English"
"12",0,"material","corduroy",14,0.03,"English"
"13",0,"human","strict",15,0.95,"English"
"14",0,"value","exciting",16,0.97,"English"
"15",0,"age","new",17,0.98,"English"
"16",0,"speed","speedy",18,0.99,"English"
"17",0,"dimension","biggest",19,0.96,"English"
"18",0,"dimension","thin",20,0.94,"English"
"19",0,"human","civilized",21,0.81,"English"
"20",0,"nationality","international",22,0.03,"English"
"21",0,"nationality","European",23,0.18,"English"
"22",0,"location","closest",24,0.97,"English"
"23",0,"location","overhead",25,0.79,"English"
"24",0,"human","sad",26,0.96,"English"
"25",0,"value","favorite",27,0.63,"English"
"26",0,"physical","curly",28,0.27,"English"
"27",0,"nationality","Hispanic",29,0.34,"English"
"28",0,"physical","creamy",30,0.72,"English"
"29",0,"dimension","thick",31,0.9,"English"
"30",0,"physical","smooth",32,0.78,"English"
"31",1,"speed","fast",3,0.45,"English"
"32",1,"color","yellow",4,0.01,"English"
"33",1,"X","potential",5,0.8,"English"
"34",1,"material","crocheted",6,0.14,"English"
"35",1,"material","wooden",7,0.38,"English"
"36",1,"value","pleasant",8,0.78,"English"
"37",1,"dimension","thin",9,0.1,"English"
"38",1,"physical","smooth",10,0.24,"English"
"39",1,"location","overhead",11,0.01,"English"
"40",1,"physical","curly",12,0.33,"English"
"41",1,"human","civilized",13,0.74,"English"
"42",1,"nationality","European",14,0.28,"English"
"43",1,"shape","circular",15,0.01,"English"
"44",1,"temporal","current",16,0.71,"English"
