workerid,class,predicate,slide_number,response
0,size,small,3,0.07
0,quality,bad,4,0.03
0,size,big,5,0.08
0,texture,soft,6,0.13
0,size,long,7,0.32
0,size,huge,8,0.44
0,texture,hard,9,0
0,color,green,10,0
0,quality,good,11,0.65
0,shape,round,12,0
0,size,tiny,13,0.31
0,age,old,14,0.36
0,age,rotten,15,0
0,color,yellow,16,0
0,color,red,17,0
0,material,metal,18,0
0,age,fresh,19,0.45
0,size,short,20,0.17
0,color,purple,21,0
0,material,wooden,22,0
0,material,plastic,23,0
0,shape,square,24,0
0,texture,smooth,25,0.07
0,age,new,26,0.45
0,color,blue,27,0.04
0,color,brown,28,0.03
1,size,short,3,0.28
1,color,blue,4,0.02
1,color,red,5,0.02
1,size,small,6,0.54
1,material,wooden,7,0.02
1,color,green,8,0
1,material,metal,9,0.02
1,color,brown,10,0.04
1,quality,bad,11,0.74
1,age,new,12,0.5
1,material,plastic,13,0.03
1,size,tiny,14,0.72
1,age,fresh,15,0.62
1,texture,smooth,16,0.52
1,size,huge,17,0.67
1,texture,hard,18,0.39
1,shape,round,19,0.15
1,age,old,20,0.81
1,texture,soft,21,0.68
1,color,purple,22,0.05
1,size,big,23,0.76
1,shape,square,24,0.01
1,size,long,25,0.63
1,age,rotten,26,0.57
1,color,yellow,27,0.02
1,quality,good,28,0.85
2,shape,round,3,1
2,age,fresh,4,0
2,color,blue,5,1
2,shape,square,6,1
2,texture,soft,7,0
2,size,tiny,8,0
2,material,plastic,9,0
2,age,new,10,0
2,size,small,11,0
2,size,huge,12,0
2,color,purple,13,0
2,texture,smooth,14,1
2,size,short,15,1
2,size,long,16,0.19
2,material,metal,17,0.77
2,quality,good,18,0
2,quality,bad,19,0
2,age,rotten,20,0.96
2,color,yellow,21,0
2,color,green,22,1
2,age,old,23,0.86
2,color,brown,24,0
2,size,big,25,0.05
2,color,red,26,0
2,texture,hard,27,1
2,material,wooden,28,0
3,shape,square,3,0.05
3,size,long,4,0.55
3,size,huge,5,0.66
3,texture,soft,6,0.26
3,texture,smooth,7,0.15
3,quality,bad,8,0.72
3,age,fresh,9,0.78
3,material,metal,10,0.05
3,color,brown,11,0.19
3,age,rotten,12,0.07
3,color,red,13,0.06
3,texture,hard,14,0.22
3,material,plastic,15,0.07
3,size,short,16,0.42
3,color,green,17,0.12
3,age,old,18,0.56
3,size,big,19,0.56
3,size,tiny,20,0.53
3,color,blue,21,0.1
3,shape,round,22,0.05
3,quality,good,23,0.73
3,material,wooden,24,0.07
3,color,yellow,25,0.07
3,age,new,26,0.51
3,size,small,27,0.47
3,color,purple,28,0.08
4,color,yellow,3,0.79
4,texture,smooth,4,0.8
4,color,purple,5,0.18
4,color,red,6,0.2
4,material,wooden,7,0.21
4,quality,good,8,1
4,material,metal,9,0.08
4,color,green,10,0.79
4,age,rotten,11,0.64
4,size,short,12,0.66
4,age,new,13,0.74
4,shape,square,14,0.24
4,texture,soft,15,0.74
4,size,small,16,0.79
4,shape,round,17,0.37
4,quality,bad,18,0.86
4,size,long,19,0.74
4,texture,hard,20,0.8
4,material,plastic,21,0.2
4,size,big,22,0.78
4,size,huge,23,0.78
4,color,brown,24,0.15
4,color,blue,25,0.17
4,size,tiny,26,0.87
4,age,fresh,27,0.68
4,age,old,28,0.85
5,size,big,3,1
5,texture,hard,4,1
5,size,long,5,1
5,color,green,6,1
5,material,metal,7,1
5,color,red,8,0
5,size,short,9,1
5,shape,square,10,0
5,quality,bad,11,1
5,size,tiny,12,1
5,age,old,13,0
5,texture,soft,14,1
5,age,fresh,15,1
5,material,wooden,16,0
5,size,small,17,1
5,size,huge,18,0.99
5,material,plastic,19,0
5,texture,smooth,20,0.96
5,color,yellow,21,0
5,shape,round,22,0
5,age,rotten,23,1
5,color,brown,24,0
5,quality,good,25,1
5,color,purple,26,0
5,color,blue,27,0.01
5,age,new,28,0
6,material,wooden,3,0.85
6,texture,hard,4,0.64
6,color,brown,5,0.19
6,size,long,6,0.85
6,material,metal,7,0.12
6,texture,smooth,8,0.68
6,shape,round,9,0.33
6,color,green,10,0.24
6,color,purple,11,0.19
6,size,huge,12,0.87
6,quality,good,13,0.99
6,texture,soft,14,0.67
6,shape,square,15,0.53
6,quality,bad,16,0.93
6,color,red,17,0.17
6,age,rotten,18,0.32
6,age,fresh,19,0.25
6,size,small,20,0.98
6,color,yellow,21,0.21
6,age,old,22,0.89
6,size,short,23,0.86
6,size,tiny,24,0.83
6,color,blue,25,0.16
6,material,plastic,26,0.15
6,size,big,27,0.9
6,age,new,28,0.86
7,shape,round,3,0.62
7,quality,good,4,0.88
7,color,green,5,0.12
7,size,tiny,6,0.5
7,age,rotten,7,0.63
7,texture,hard,8,0.21
7,size,small,9,0.3
7,age,new,10,0.14
7,age,old,11,0.55
7,color,purple,12,0.03
7,texture,smooth,13,0.37
7,size,big,14,0.31
7,texture,soft,15,0.55
7,material,metal,16,0
7,color,blue,17,0
7,age,fresh,18,0.58
7,material,plastic,19,0
7,size,huge,20,0.56
7,color,red,21,0
7,shape,square,22,0.06
7,quality,bad,23,0.61
7,size,short,24,0.57
7,size,long,25,0.62
7,color,brown,26,0
7,color,yellow,27,0
7,material,wooden,28,0.32
8,shape,square,3,0.02
8,age,rotten,4,0.52
8,size,short,5,0.47
8,shape,round,6,0.01
8,color,purple,7,0.04
8,material,wooden,8,0
8,material,plastic,9,0.01
8,color,brown,10,0.02
8,size,long,11,0.6
8,age,new,12,0.66
8,texture,soft,13,0.31
8,quality,good,14,0.95
8,size,big,15,0.54
8,color,blue,16,0.04
8,color,red,17,0.03
8,quality,bad,18,0.52
8,texture,smooth,19,0.34
8,size,huge,20,0.27
8,age,old,21,0.52
8,texture,hard,22,0.19
8,size,tiny,23,0.17
8,color,yellow,24,0.01
8,age,fresh,25,0.48
8,color,green,26,0.03
8,size,small,27,0.21
8,material,metal,28,0.01
9,age,old,3,0.72
9,color,brown,4,0.37
9,shape,round,5,0.32
9,texture,soft,6,0.43
9,age,fresh,7,0.63
9,quality,bad,8,0.47
9,size,small,9,0.45
9,color,blue,10,0.2
9,shape,square,11,0.15
9,size,long,12,0.5
9,age,rotten,13,0.49
9,size,huge,14,0.38
9,material,wooden,15,0.15
9,age,new,16,0.52
9,size,short,17,0.38
9,texture,smooth,18,0.39
9,texture,hard,19,0.48
9,color,green,20,0.28
9,quality,good,21,0.64
9,size,tiny,22,0.31
9,size,big,23,0.36
9,color,red,24,0.23
9,material,plastic,25,0.28
9,material,metal,26,0.21
9,color,yellow,27,0.18
9,color,purple,28,0.22
10,shape,round,3,0.06
10,texture,hard,4,1
10,texture,smooth,5,0.57
10,color,green,6,0
10,color,brown,7,0
10,texture,soft,8,0.69
10,shape,square,9,0.1
10,size,small,10,0.74
10,age,rotten,11,0.78
10,size,short,12,0.61
10,color,blue,13,0.11
10,size,tiny,14,0.65
10,age,new,15,0.66
10,quality,bad,16,0.72
10,material,wooden,17,0.26
10,color,purple,18,0.08
10,age,old,19,0.66
10,color,yellow,20,0.22
10,color,red,21,0.2
10,size,long,22,0.74
10,material,metal,23,0.33
10,material,plastic,24,0.25
10,quality,good,25,0.79
10,size,big,26,0.73
10,age,fresh,27,0.81
10,size,huge,28,0.76
11,color,brown,3,0.2
11,texture,soft,4,0.55
11,texture,smooth,5,0.58
11,material,metal,6,0.59
11,shape,round,7,0.43
11,color,yellow,8,0.25
11,size,small,9,0.73
11,age,rotten,10,0.36
11,material,wooden,11,0.37
11,color,blue,12,0.14
11,color,red,13,0.12
11,quality,good,14,1
11,material,plastic,15,0.24
11,age,old,16,0.94
11,age,fresh,17,0.68
11,age,new,18,0.79
11,size,huge,19,0.87
11,shape,square,20,0.16
11,size,tiny,21,1
