gender,workerid,language,education,enjoyment,asses,age,comments
Female,0,english,1,1,Yes,47,
Female,1,english,2,2,Confused,42,
Female,2,English,4,2,Yes,45,
Female,3,English,3,1,Yes,31,
Female,4,english,2,2,Yes,45,
Female,5,English ,3,2,Yes,40,
Female,6,english,4,1,Yes,57,
Male,7,English,1,1,Yes,31,
Female,8,English,2,1,Yes,29,
Female,9,english,2,2,Yes,36,
Female,10,English,2,1,Yes,25,
Female,11,English,3,1,Yes,37,I would be interested in how other responded to the same questions.  
Male,12,english,3,2,Yes,40,
Male,13,English,4,2,Yes,28,
Male,14,English,4,1,Yes,47,
Male,15,English,2,1,Yes,25,
Female,16,English,1,2,Yes,33,
Male,17,english,4,1,Yes,77,"interesting, thanks for allowing me to participate, have a wonderful day"
Male,18,English,3,1,Yes,27,
Female,19,english,2,2,Yes,54,
Female,20,English,2,2,Yes,33,
Female,21,English,3,1,Yes,33,
Female,22,english,3,1,Yes,25,fun!
Female,23,english,2,2,Yes,25,
Female,24,English,3,1,Yes,32,
Female,25,ENGLISH,4,1,Yes,36,
Female,26,English,1,2,Yes,39,
Male,27,English,3,1,Yes,30,Thanks for the HIT!
Female,28,English,2,1,Yes,65,
Male,29,englsh,2,2,Yes,32,
Male,30,English,2,2,Yes,39,I think I got them all but thank you regardless.
Male,31,English,1,2,Yes,59,
Male,32,English,2,1,Yes,30,
Male,33,english,3,1,Yes,25,
Male,34,English,3,2,Yes,33,
Male,35,English,2,2,Yes,21,
Male,36,"english, vietnamese",3,2,Yes,34,
Male,37,English,4,1,Yes,40,No comments
Male,38,English,2,1,Yes,33,
Female,39,English,2,2,Yes,43,
Male,40,English,2,1,Yes,26,
Male,41,english,1,2,Yes,60,
Male,42,English,2,2,Yes,26,That was interesting. Something I never thought much on.
Female,43,English,3,1,Yes,30,
Male,44,English ,2,2,Yes,67,
Male,45,English,2,2,Yes,21,
Male,46,English,3,2,Yes,35,
Female,47,english,1,1,No,44,
Male,48,English,3,2,Yes,25,"I guess words can be objective in some contexts and subjective in others, so I tried to reflect that ambiguity when I noticed it."
Female,49,English,4,2,Yes,64,
Female,50,Hindi,2,1,Yes,40,
Female,51,ENGLISH,2,1,Yes,39,
Male,52,English,4,2,Yes,35,I enjoyed this HIT - would do more if offered.
Female,53,English,4,2,Yes,30,
Female,54,English,4,1,Yes,31,
Male,55,Vietnamese,2,1,Yes,33,
Female,56,English,4,1,Yes,,N/A
Female,57,english,3,1,Yes,39,interesting - some of these were thought provoking
Male,58,English,3,2,Yes,29,Very cool experiment. Thank you!
Male,59,english,3,2,Yes,30,
Female,60,English,2,2,Yes,20,N/A
Female,61,english,2,1,No,34,
Female,62,English,2,1,Yes,53,
Female,63,english,3,1,No,30,very good
Male,64,English,1,2,Yes,36,
Female,65,English,1,2,Yes,33,I hope I did what you wanted/needed. I would like to do more. 
Female,66,English,1,2,Yes,27,
Male,67,English,3,2,Yes,54,Interesting.
Male,68,English,2,2,Yes,30,
Female,69,English,3,1,Yes,44,It was a bit difficult in my opinion. I feel like lots of things can be subjective depending on the person and their beliefs.
Male,70,English,3,1,Yes,67,It was hard to qualify some of the adjectives
Female,71,English,3,2,Yes,42,"It was interesting to think about some of the words - depending on your perception, many could have gone either way."
Male,72,English,3,2,Yes,27,
Male,73,English,3,1,Yes,46,
Female,74,English,4,2,Yes,63,Haven't thought about subjective vs objective adjectives for many years....nice learning opportunity.
