"","predicate","N","response","bootsci_high","bootsci_low"
"1","above",27,0.19962962962963,0.302962962962963,0.111481481481481
"2","absolute",19,0.241052631578947,0.353171052631579,0.141052631578947
"3","accurate",21,0.327619047619048,0.45952380952381,0.203333333333333
"4","actual",22,0.302727272727273,0.408647727272727,0.204090909090909
"5","additional",19,0.439473684210526,0.557894736842105,0.326302631578947
"6","adorable",17,0.905294117647059,0.951764705882353,0.844705882352941
"7","affluent",19,0.551052631578947,0.681065789473684,0.408421052631579
"8","Afghan",24,0.161666666666667,0.27875,0.065
"9","African",12,0.195833333333333,0.387520833333333,0.0525
"10","aggressive",18,0.718333333333333,0.817222222222222,0.599444444444444
"11","alternative",18,0.525,0.638333333333333,0.406666666666667
"12","amazing",18,0.813888888888889,0.878333333333333,0.741111111111111
"13","American",26,0.273076923076923,0.383855769230769,0.168076923076923
"14","ancient",21,0.452857142857143,0.579047619047619,0.322857142857143
"15","annual",20,0.1875,0.288,0.0975
"16","antique",22,0.431818181818182,0.545920454545454,0.320443181818182
"17","appetizing",22,0.838636363636364,0.908181818181818,0.746363636363636
"18","Asian",15,0.28,0.44,0.142
"19","asymmetrical",22,0.206818181818182,0.315909090909091,0.116363636363636
"20","Australian",33,0.143939393939394,0.243636363636364,0.0648484848484848
"21","authentic",26,0.625769230769231,0.718076923076923,0.534615384615385
"22","average",11,0.600909090909091,0.74,0.441818181818182
"23","bad",25,0.7304,0.8136,0.6356
"24","Bangladeshi",19,0.176842105263158,0.309473684210526,0.071578947368421
"25","basic",14,0.667857142857143,0.788571428571429,0.537857142857143
"26","beautiful",23,0.844782608695652,0.927391304347826,0.740434782608696
"27","best",21,0.823809523809524,0.892857142857143,0.741892857142857
"28","big",17,0.644117647058824,0.77,0.511176470588235
"29","biological",16,0.164375,0.2825,0.064375
"30","black",24,0.250833333333333,0.396666666666667,0.119989583333333
"31","bland",28,0.708928571428571,0.789285714285714,0.619285714285714
"32","blind",24,0.260416666666667,0.368333333333333,0.160416666666667
"33","bloody",16,0.315625,0.42375,0.220625
"34","blue",19,0.298947368421053,0.440526315789474,0.166315789473684
"35","brave",25,0.686,0.7456,0.62359
"36","bright",21,0.60047619047619,0.721916666666667,0.474273809523809
"37","British",17,0.282941176470588,0.420588235294118,0.161176470588235
"38","burdensome",24,0.6925,0.769166666666667,0.6075
"39","calm",21,0.696666666666667,0.772857142857143,0.617607142857143
"40","Canadian",16,0.1225,0.2,0.055609375
"41","central",22,0.456818181818182,0.55,0.363181818181818
"42","certain",18,0.510555555555556,0.653888888888889,0.368319444444444
"43","cheap",15,0.639333333333333,0.802666666666667,0.46665
"44","chemical",17,0.305882352941176,0.452941176470588,0.173529411764706
"45","Chinese",18,0.191666666666667,0.334444444444444,0.0783333333333333
"46","Christian",26,0.402307692307692,0.543855769230769,0.268846153846154
"47","chronic",21,0.306666666666667,0.395238095238095,0.225714285714286
"48","civic",22,0.406363636363636,0.503636363636364,0.307715909090909
"49","civil",10,0.595,0.729,0.457
"50","classical",26,0.518076923076923,0.626538461538461,0.409230769230769
"51","clean",12,0.628333333333333,0.790020833333333,0.4675
"52","close",26,0.543461538461538,0.648471153846154,0.433451923076923
"53","coastal",15,0.298,0.472,0.144666666666667
"54","coincidental",16,0.543125,0.675625,0.396875
"55","cold",19,0.60421052631579,0.687894736842105,0.517894736842105
"56","collective",14,0.254285714285714,0.335714285714286,0.177857142857143
"57","commercial",20,0.3465,0.458,0.2405
"58","common",23,0.56304347826087,0.658695652173913,0.460423913043478
"59","confidential",20,0.4035,0.5315125,0.2775
"60","continental",14,0.395,0.564285714285714,0.234285714285714
"61","conventional",21,0.634761904761905,0.715238095238095,0.554761904761905
"62","conversational",11,0.517272727272727,0.684545454545455,0.342727272727273
"63","corporate",23,0.239565217391304,0.354347826086957,0.141739130434783
"64","correct",18,0.42,0.581666666666667,0.262777777777778
"65","corrupt",15,0.668,0.777333333333333,0.548
"66","cortical",10,0.526,0.678,0.365
"67","covert",17,0.534705882352941,0.647647058823529,0.424691176470588
"68","crappy",22,0.785,0.883181818181818,0.668181818181818
